sector,cname,bse_code
Chemicals -  Speciality Chemicals,C J Gelatine Products Limited,31987
IT -  Hardware,C M C Limited,517326
IT -  Hardware,C M C Limited,17330
Power -  Power  -  Equipments,C P E C Limited,505678
Courier and Logistic Services -  Courier and Logistic Services,C R C Carrier Limited,20147
Others -  Miscella  -  Others,C R C Carrier Limited,31943
Engineering -  Engineering  -  Others,C T R Manufacturing Industries Limited,3968
Power -  Power  -  Equipments,C T R Manufacturing Industries Limited,500077
Chemicals -  Carbon Black,Cabot India Limited,6700
Others,Cachar Metals Limited,13305
Food Products -  Food & Dairy Products,Cadbury India Limited,793
Food Products -  Food & Dairy Products,Cadbury India Limited,532321
Food Products -  Food & Dairy Products,Cadbury India Limited,532792
Consumer Durables -  White Goods,Cadbury India Limited,517236
Others,Caldyn Aircon Limited,32186
Oil and Gas -  Refining and Marketing,Cals Refineries Limited,526652
Oil and Gas -  Refining and Marketing,Cals Refineries Limited,532616
IT -  IT Enabled Services,Cambridge Technology Enterprises Limited,532801
Dye Stuff -  Dye Stuff,Camex Limited,524440
Chemicals -  Chemicals  -  Others,Camex Limited,532834
Printing and Stationery -  Printing Ink,Camex Limited,523207
Agro Inputs -  Pesticides,Camson Bio Technologies Limited,590076
Financial Services -  Investment,Camson Bio Technologies Limited,31630
Financial Services -  MFs (Asset Management Companies),Camson Bio Technologies Limited,32146
Financial Services -  MFs (Asset Management Companies),Canstar 1990,11239
Financial Services -  MFs (Asset Management Companies),Canstar 1990,11241
Chemicals -  Inorganic Chemicals,Canstar 1990,31535
Chemicals -  Inorganic Chemicals,Canstar 1990,511505
Chemicals -  Inorganic Chemicals,Canstar 1990,12169
Plastic Processing -  Sheets & Films,Canstar 1990,509486
Chemicals -  Organic Chemicals,Caprolactam Chemicals Limited,7486
Pharmaceuticals -  Bulk Drugs,Caprolactam Chemicals Limited,6887
Engineering -  Abrasives,Caprolactam Chemicals Limited,513375
Engineering -  Forging/Casting,Carnation Industries Limited,530609
Others,Carnation Industries Limited,9495
Consumer Durables -  White Goods,Carnation Industries Limited,79
Healthcare/Hospitals -  Healthcare,Carnation Industries Limited,23254
Steel -  Steel  -  Others,Castron Technologies Limited,6095
Steel -  Steel  -  Others,Castron Technologies Limited,531682
Engineering -  Electronics,Catvision Products Limited,531158
Engineering -  Electronics,Catvision Products Limited,7504
Cement -  Cement,CCL International Limited,531900
IT -  Software  -  Small/Medium,CCL International Limited,532405
IT -  Software  -  Small/Medium,CCL International Limited,500878
IT -  Software  -  Small/Medium,CCL International Limited,530789
Auto Ancillaries -  Transmission and Steering,Ceekay Daikin Limited,505923
Auto Ancillaries -  Transmission and Steering,Ceekay Daikin Limited,514171
Textile -  Composite  -  Readymade Garments,Celebrity Fashions Limited,532695
Chemicals -  Chemicals  -  Others,Celestial Biolabs Limited,532871
Chemicals -  Organic Chemicals,Cellulose Products Of India Limited,6345
Engineering -  Light  -  General,Cellulose Products Of India Limited,522251
Textile -  Textiles  -  Others,Central India Polyesters Limited,99
Others -  Miscella  -  Others,Central Provinces Railways Company Limited,501827
Others -  Miscella  -  Others,Central Provinces Railways Company Limited,509499
Financial Services -  NBFC  -  Small / Medium,Centrum Capital Limited,501150
Financial Services -  NBFC  -  Small / Medium,Centrum Capital Limited,517544
Engineering -  Electronics,Centrum Capital Limited,532956
Banks -  PrivateBSE,Centrum Capital Limited,532956
Textile -  Polyesters,Century Enka Limited,500280
Const/Bldg Material -  Construction and Building Materials  -  Others,Century Enka Limited,31299
Others -  Miscella  -  Others,Century Plyboards (India) Limited,532548
Diversified -  Large,Century Textiles & Industries Limited,500040
Food Products -  Food & Dairy Products,Century Textiles & Industries Limited,24810
IT -  Hardware,Cerebra Integrated Technologies Limited,532413
IT -  Hardware,Cerebra Integrated Technologies Limited,31473
IT -  Software  -  Small/Medium,CG-Vak Software & Exports Limited,531489
Paper -  Paper  -  Small,CG-Vak Software & Exports Limited,31946
